student_id,studied_course,Background,interested,Hour_week,Study_Materials,Practical_Work,Alone_Study,Sleep_hours,Soc_Activ,stressed_anx,Exp_GPA,Curr_GPA
0,Databases,Chemistry,9,3,Books-Recommended:Notes:Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles),Prefer not to Say,Yes,1,Modelling:Sports,Yes,2,2
1,Genetics,Chemistry,9,2,Books-Recommended:Lecture Slides:Notes:Books-Out Of Course:Internet Resources(Videos Articles),Yes,No,7,Fishing:Programming:Volunteering Work:Modelling:Sports,No,2,4
2,Genetics,Chemistry,4,7,Notes:Books-Out Of Course:Lecture Slides:Books-Recommended,NA,No,8,Sports:Friend Circle in the University:Modelling,No,2,1.5
3,Genetics,Biology,4,10+,Notes:Books-Recommended:Lecture Slides,Prefer not to Say,No,3,Fishing:Friend Circle in the University:Modelling:Sports,No,1,2.5
4,Mandarin,Biology,7,8,Books-Out Of Course:Notes:Lecture Slides:Internet Resources(Videos Articles),No,Yes,2,Sports:Programming:Modelling:Volunteering Work,No,3,4
5,Databases,History,1,7,Books-Recommended:Books-Out Of Course:Notes,NA,Yes,7,Fishing:Friend Circle in the University:Programming,No,2,3
6,Genetics,Languages,4,7,Books-Recommended:Notes:Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides,NA,Yes,3,Friend Circle in the University:Sports:Modelling:Volunteering Work,Yes,4,3.5
7,Latin,Languages,3,0,Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course:Notes,No,No,4,Modelling,No,3,2.5
8,Functional Programming,Chemistry,4,1,Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles):Lecture Slides,NA,No,4,Volunteering Work,Yes,3,2.5
9,Genetics,Mathematics,2,0,Lecture Slides:Books-Recommended:Books-Out Of Course,Yes,No,9,Programming,No,4,2.5
10,Mandarin,Computer Science,6,9,Books-Recommended:Notes:Books-Out Of Course,Yes,No,2,Friend Circle in the University:Modelling,Yes,4,2.5
11,English,Computer Science,4,8,Lecture Slides:Books-Recommended:Notes:Internet Resources(Videos Articles),NA,No,1,Fishing:Programming:Modelling:Friend Circle in the University:Sports:Volunteering Work,No,3,1
12,Latin,Computer Science,8,6,Lecture Slides,No,No,9,Sports,No,4,4
13,Genetics,Languages,3,1,Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course:Lecture Slides,Yes,No,3,Fishing:Modelling,No,1,3
14,Latin,Computer Science,2,2,Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides:Notes:Books-Recommended,Yes,No,3,Programming:Modelling:Friend Circle in the University,Yes,4,4
15,Databases,History,2,6,Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides:Notes:Books-Recommended,No,Yes,3,Sports:Friend Circle in the University:Modelling,No,1,1.5
16,Linear Algebra,Chemistry,4,10+,Books-Recommended:Books-Out Of Course,No,No,2,Modelling:Sports,No,4,1.5
17,Databases,History,1,5,Books-Out Of Course:Notes:Lecture Slides:Internet Resources(Videos Articles),Prefer not to Say,Yes,6,Sports:Friend Circle in the University:Modelling:Volunteering Work,No,3,1
18,Latin,Mathematics,0,2,Books-Out Of Course:Internet Resources(Videos Articles):Notes,No,Yes,7,Fishing:Programming:Modelling:Volunteering Work:Sports,Yes,3,3
19,Biochemistry,Mathematics,1,4,Internet Resources(Videos Articles):Lecture Slides:Books-Recommended:Notes:Books-Out Of Course,Prefer not to Say,Yes,10+,Volunteering Work:Fishing:Programming:Friend Circle in the University,No,1,3.5
