studied_course,Background,interested,Hours_Study,Study_Materials,Practical_Work,Alone_Study,Hours_Sleep,Soc_Activ,stressed_anx,Exp_GPA,Calc_GPA
Latin,Biology,6,6,Notes,Prefer not to Say,No,1,Sports:Programming:Fishing:Friend Circle in the University:Volunteering Work:Modelling,No,3,2.5
Functional Programming,Mathematics,10,9,Books-Out Of Course:Lecture Slides:Books-Recommended:Notes:Internet Resources(Videos Articles),No,Yes,10+,Programming:Modelling:Volunteering Work:Sports:Fishing:Friend Circle in the University,No,2,4
Organic Chemistry,Mathematics,2,10+,Lecture Slides:Internet Resources(Videos Articles):Books-Recommended,,Yes,3,Volunteering Work:Modelling:Sports:Friend Circle in the University:Programming,Yes,4,2
Latin,Biology,2,7,Books-Recommended,Prefer not to Say,No,5,Programming:Modelling:Friend Circle in the University,No,2,1
Probability and Statistics,Mathematics,9,6,Books-Recommended:Internet Resources(Videos Articles):Notes,Prefer not to Say,No,1,Fishing:Programming:Friend Circle in the University:Volunteering Work:Sports,Yes,2,2
English,Languages,9,6,Books-Recommended:Notes:Internet Resources(Videos Articles),,Yes,7,Friend Circle in the University:Volunteering Work:Fishing,No,2,1
Mandarin,Chemistry,10,2,Books-Recommended:Lecture Slides:Books-Out Of Course:Notes:Internet Resources(Videos Articles),Prefer not to Say,Yes,10+,Volunteering Work:Modelling:Friend Circle in the University:Fishing,No,2,4
Databases,Languages,10,10+,Notes:Lecture Slides:Books-Recommended,No,Yes,0,Fishing:Sports,Yes,2,2
Linear Algebra,History,6,9,Notes:Internet Resources(Videos Articles):Books-Recommended,Prefer not to Say,Yes,6,Modelling:Fishing,No,1,3
English,Computer Science,4,7,Notes:Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course:Books-Recommended,,No,2,Friend Circle in the University:Sports:Volunteering Work:Modelling,Yes,2,2.5
Linear Algebra,Languages,10,5,Internet Resources(Videos Articles),Prefer not to Say,Yes,9,Programming:Modelling:Volunteering Work:Friend Circle in the University:Sports:Fishing,No,2,1.5
Probability and Statistics,Chemistry,7,8,Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course,Prefer not to Say,Yes,4,Fishing:Friend Circle in the University:Modelling:Programming:Volunteering Work:Sports,No,2,2
Organic Chemistry,History,8,6,Notes:Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course:Books-Recommended,,Yes,6,Fishing:Volunteering Work:Sports:Modelling:Programming,No,1,1
